Job #,Assy,Item,Rev,Assembly,Description,Total Qty,Locations,Drawing?,HARDWARE FIXED IN MODEL ?,ALL PARTS CHECKED IN?, , , , 
GF12,656,00,A,GF12.656.00.A,Pick N Place Actuator Assy,2,", 1x650.0, 1x660.0,",EL 9/23/23,EL 9/23/23,"NEED PARTS 650.02, 650.04, 650.05, 650.06 FROM PLATING, NEED SMC BM5-032 FROM PO 55073",,,,
GF12,660,00,A,GF12.660.00.A,Cap Pick N Place B Side Assy,1,", 1x600.0,",EL 9/23/23,EL 9/23/23,"NEED PARTS 650.03 FROM PLATING, PART 650.01 FROM PO 55101 + PLATING", , , , 
GF12,663,00,A,GF12.663.00.A,Cap Escapement Assembly-B Side,1,", 1x660.0,",EL 9/22/23,EL 9/22/23,"NEED PARTS 653.01, 653.02 FROM PLATING", , , , 
GF12,664,00,A,GF12.664.00.A,Cap Gripper A Side Assembly-B Side,1,", 1x660.0,",EL 9/22/23,EL 9/22/23,"NEED PARTS 654.01, 654.02, 654.03, 654.04, 654.05, 654.06 FROM PLATING", , , , 
GF12,665,00,A,GF12.665.00.A,Dead Nest A side Assembly-B Side,1,", 1x660.0,",EL 9/23/23,EL 9/23/23,"NEED PARTS 655.01, 655.02, 655.03, 655.04 FROM PLATING, NEED TO ORDER MURR 7000-08061-6110750", , , , 
GF12,700,00,A,GF12.700.00.A,Flying Knife Assembly,1,"1x000.0,",EL 9/18/23,EL 9/18/23,, , , , 
GF12,710,00,A,GF12.710.00.A,Knife Frame Assembly,1,", 1x700.0,",EL 9/18/23,EL 9/18/23,NEED PART 710.02 FROM PO 55101, , , , 
GF12,720,00,A,GF12.720.00.A,Actuator Assembly,1,", 1x700.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 
GF12,730,00,A,GF12.730.00.A,Dienes Knife Assembly,1,", 1x700.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 
GF12,740,00,A,GF12.740.00.A,Knife Web Clamp Assembly,4,", 4x700.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 
GF12,750,00,A,GF12.750.00.A,Knife Manifold,1,", 1x700.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 
GF12,800,00,A,GF12.800.00.A,Delivery Assembly,1,"1x000.0,",EL 9/18/23,EL 9/18/23,, , , , 
GF12,810,00,A,GF12.810.00.A,Delivery Frame,1,", 1x800.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 
GF12,811,00,A,GF12.811.00.A,Conveyor L Bracket Assy,4,", 4x810.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 
GF12,820,00,A,GF12.820.00.A,Delivery Conveyor Assembly,1,", 1x800.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 
