Bolt,Cost,Total Qty,Qty Rec,Mfg/Matl,Vendor,Notes,Out to Quote,Order Date,Req Date,Conf Date,PO #,Locations
"M6 X 1.0 X 16 HEX SHCS, ", ,684,,  ,Monroe Fasteners,  , , , , , ,", 112x116.501, 2x140.505, 20x215.502, 32x216.501, 8x221.501, 8x222.501, 28x241.504, 8x243.508, 30x250.502, 6x251.502, 40x310.502, 18x332.506, 18x333.506, 12x334.504, 16x341.504, 24x411.501, 96x415.503, 16x470.501, 16x511.503, 40x610.501, 14x632.505, 16x633.505, 12x634.504, 44x640.508, 8x651.503, 8x652.503, 2x654.502, 2x655.504, 2x664.502, 2x665.504, 16x720.501, 8x740.502,"
"M6 X 1.0 X 16 SBHCS, ", ,99,,  ,Monroe Fasteners,  , , , , , ,", 12x122.501, 4x140.503, 16x241.502, 12x332.502, 12x333.502, 8x334.502, 16x342.508, 4x653.501, 4x663.501, 3x730.502, 8x811.503,"
"M6 X 1.0 X 16 SOCKET FCHS, ", ,10,,  ,Monroe Fasteners,  , , , , , ,", 8x223.504, 2x750.502,"
"M6 X 1.0 X 20 HEX SHCS, ", ,210,,  ,Monroe Fasteners,  , , , , , ,", 28x113.503, 8x114.503, 24x130.501, 2x141.502, 48x211.502, 4x213.502, 16x230.501, 4x242.502, 12x250.503, 4x253.502, 4x332.509, 4x333.509, 6x345.501, 8x346.502, 24x411.502, 4x471.502, 4x632.506, 6x633.506,"
"M6 X 1.0 X 20 SBHCS, ", ,96,,  ,Monroe Fasteners,  , , , , , ,", 8x241.503, 16x342.509, 8x343.511, 8x344.511, 12x632.503, 12x633.503, 8x634.502, 16x640.506, 8x656.502,"
"M6 X 1.0 X 20 SOCKET FCHS, ", ,4,,  ,Monroe Fasteners,  , , , , , ,", 4x740.501,"
"M6 X 1.0 X 25 HEX SHCS, ", ,178,,  ,Monroe Fasteners,  , , , , , ,", 2x140.506, 2x141.503, 4x242.503, 38x310.501, 16x341.505, 6x345.502, 8x346.503, 24x416.502, 16x470.502, 4x471.503, 8x516.502, 34x610.502, 4x632.507, 4x633.507, 8x640.509,"
"M6 X 1.0 X 25 SBHCS, ", ,398,,  ,Monroe Fasteners,  , , , , , ,", 13x331.506, 8x342.510, 11x343.512, 11x344.512, 18x410.501, 16x413.503, 96x416.501, 18x420.501, 16x423.503, 18x430.501, 18x440.501, 18x450.501, 8x453.503, 18x460.501, 8x463.503, 8x513.503, 32x516.501, 8x523.503, 13x631.506, 8x640.507, 18x710.504, 16x811.501,"
"M6 X 1.0 X 25 SOCKET FCHS, ", ,13,,  ,Monroe Fasteners,  , , , , , ,", 1x140.511, 2x343.513, 2x344.513, 8x656.504,"
"M6 X 1.0 X 30 HEX SHCS, ", ,16,,  ,Monroe Fasteners,  , , , , , ,", 4x650.507, 2x654.503, 2x655.505, 4x660.507, 2x664.503, 2x665.505,"
"M6 X 1.0 X 30 SBHCS, ", ,8,,  ,Monroe Fasteners,  , , , , , ,", 4x343.514, 4x344.514,"
"M6 X 1.0 X 30 SOCKET FCHS, ", ,8,,  ,Monroe Fasteners,  , , , , , ,", 8x720.502,"
"M6 X 1.0 X 35 HEX SHCS, ", ,100,,  ,Monroe Fasteners,  , , , , , ,", 60x130.502, 40x230.502,"
"M6 X 1.0 X 35 SOCKET FCHS,", ,4,,  ,Monroe Fasteners,  , , , , , ,", 2x343.515, 2x344.515,"
"M6 X 1.0 X 40 HEX SHCS, ", ,112,,  ,Monroe Fasteners,  , , , , , ,", 48x130.503, 32x230.503, 16x320.502, 16x620.502,"
"M6 X 1.0 X 60 HEX SHCS, ", ,4,,  ,Monroe Fasteners,  , , , , , ,", 4x653.502,"
"M6 X 1.0 X 70 HEX SHCS, ", ,24,,  ,Monroe Fasteners,  , , , , , ,", 16x341.506, 8x346.504,"
"M6 X 1.0 X 80 HEX SHCS, ", ,4,, ,Monroe Fasteners, , , , , , ,", 4x663.502,"
"M8 X 1.25 X 12 SBHCS,", ,58,,  ,Monroe Fasteners,  , , , , , ,", 30x180.503, 2x343.518, 2x344.518, 8x473.501, 8x514.501, 8x515.501,"
"M8 X 1.25 X 16 HEX SHCS, ", ,10,,  ,Monroe Fasteners,  , , , , , ,", 2x160.502, 8x710.505,"
"M8 X 1.25 X 16 SBHCS, ", ,0,,  ,Monroe Fasteners,  , , , , , ,","
"M8 X 1.25 X 20 HEX SHCS, ", ,140,,  ,Monroe Fasteners,  , , , , , ,", 104x111.501, 12x140.507, 8x212.501, 8x251.501, 8x470.503,"
"M8 X 1.25 X 20 SBHCS, ", ,28,,  ,Monroe Fasteners,  , , , , , ,", 4x160.501, 4x180.504, 12x241.505, 4x654.505, 4x664.505,"
"M8 X 1.25 X 20 SOCKET FCHS, ", ,108,,  ,Monroe Fasteners,  , , , , , ,", 80x112.501, 28x121.503,"
"M8 X 1.25 X 25 HEX CAP SCREW, ", ,10,,  ,Monroe Fasteners,  , , , , , ,", 10x250.504,"
M8 X 1.25 X 25 Hex SHCS, ,87,,  ,Monroe Fasteners,  , , , , , ,", 16x215.501, 24x412.501, 24x422.501, 8x512.501, 8x522.501, 5x653.503, 2x663.503,"
"M8 X 1.25 X 25 SBHCS,", ,12,,  ,Monroe Fasteners,  , , , , , ,", 4x331.509, 2x343.519, 2x344.519, 4x631.509,"
"M8 X 1.25 X 25 SOCKET FCHS, ", ,39,,  ,Monroe Fasteners,  , , , , , ,", 3x123.501, 6x243.509, 6x244.507, 4x252.502, 8x342.511, 12x540.503,"
