Length,Extrusion,Description,Total Qty,Qty Cut,Cost,Mfg/Matl,Vendor,Notes,Out to Quote,Order Date,Req Date,Conf Date,PO #,Material Cost,Coating Cost,Misc Cost,Labor Hours,M/Stick,$/stick,$/mm,Locations,READY TO CUT?, 
756.4,"90X90, D17|D17, 756.4MM",Assy .210,4,4,77.29569063,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,61.04569063,0,0,0.25,6,484.2334,0.080705567,", 4x210.706,",YES,
800.86,"90X90, D17|D17, 800.86MM",Assy .470,2,3,80.88386012,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,64.63386012,0,0,0.25,6,484.2334,0.080705567,", 2x470.704,",YES,
855,"90X90, D17|D17, 855.0MM",Assy. 341,4,4,85.2532595,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,69.0032595,0,0,0.25,6,484.2334,0.080705567,", 4x341.703,",YES,
679,"90X90, D17|D17, 679.0MM",Assy .640,4,4,71.04907977,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,54.79907977,0,0,0.25,6,484.2334,0.080705567,", 4x640.701,",YES,
689,"90X90, M12 | M12, 689.0MM",Assy .411,6,6,71.85613543,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,55.60613543,0,0,0.25,6,484.2334,0.080705567,", 6x411.701,",YES,
144.25,"90X90, M12|D17, 144.3MM",Assy .310,8,8,27.89177799,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,11.64177799,0,0,0.25,6,484.2334,0.080705567,", 8x310.704,",YES,
351.6,"90X90, M12|D17, 351.6MM",Assy .610,8,8,44.62607724,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,28.37607724,0,0,0.25,6,484.2334,0.080705567,", 8x610.704,",YES,
620,"90X90, M12|D17, 620MM",Assy .810,4,20,66.28745133,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,50.03745133,0,0,0.25,6,484.2334,0.080705567,", 4x810.704,",YES,
1539.51,"90X90, M12|M12, 1539.51MM",Assy .640,1,1,140.4970269,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,124.2470269,0,0,0.25,6,484.2334,0.080705567,", 1x640.705,",YES,
336,"90X90, M12|M12, 336.05MM",Assy .511,8,8,43.3670704,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,27.1170704,0,0,0.25,6,484.2334,0.080705567,", 8x511.702,",YES,
842,"90X90, M12|M12, 842MM",Assy .511,2,2,84.20408713,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,67.95408713,0,0,0.25,6,484.2334,0.080705567,", 2x511.701,",YES, 
,,,,,,,,,, , , , , , , , , , , , , , 
