,"Type","Date","Num","Name","Memo","Source Name","Account","Amount","Balance","Account Type"
"Parts",,,,,,,,,"",
"5245K12 (Retracting Air Hose Brass Male X Male, 18', 1/4"" ID, 170 PSI)",,,,,,,,,"",
,"Bill","10/16/2023","16011728","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",10.92,11241.12,"Cost of Goods Sold"
,"Bill","10/17/2023","16090623","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",12.59,11253.71,"Cost of Goods Sold"
,"Bill","10/19/2023","CO16-01051948","General Films:GF12 - 2-Up Bag Machine",,"Motion Industries","51200 · Freight-Machinery",32.72,11286.43,"Cost of Goods Sold"
,"Bill","10/19/2023","16237947","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",10.35,11296.78,"Cost of Goods Sold"
,"Bill","10/20/2023","9001618237","General Films:GF12 - 2-Up Bag Machine",,"Murrelektronik, Inc.","51200 · Freight-Machinery",20.31,11317.09,"Cost of Goods Sold"
,"Bill","10/23/2023","15788941","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",19.32,11336.41,"Cost of Goods Sold"
,"Bill","10/23/2023","91688003","General Films:GF12 - 2-Up Bag Machine",,"Curbell Plastics, Inc.","51200 · Freight-Machinery",15.00,11351.41,"Cost of Goods Sold"
,"Bill","10/23/2023","253927","General Films:GF12 - 2-Up Bag Machine",,"Compression Leasing Services, Inc.","51200 · Freight-Machinery",79.00,11430.41,"Cost of Goods Sold"
,"Bill","10/24/2023","CO16-01052545","General Films:GF12 - 2-Up Bag Machine",,"Motion Industries","51200 · Freight-Machinery",500.27,11930.68,"Cost of Goods Sold"
,"Bill","10/25/2023","6216223","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",22.50,11953.18,"Cost of Goods Sold"
,"Bill","10/25/2023","CREDIT CARD","General Films:GF12 - 2-Up Bag Machine",,"Alexandria Precision","51100 · Freight-ConMfg-Gen",165.49,12118.67,"Cost of Goods Sold"
,"Bill","10/25/2023","2985858602","General Films:GF12 - 2-Up Bag Machine",,"Coyote, LLC","51200 · Freight-Machinery",40.00,12158.67,"Cost of Goods Sold"
,"Bill","10/26/2023","6216308","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",173.39,12332.06,"Cost of Goods Sold"
,"Bill","10/26/2023","OC16734768","General Films:GF12 - 2-Up Bag Machine",,"Aerotek Inc","61800 · Contract Labor",1788.75,14120.81,"Expense"
,"Bill","10/27/2023","16673017","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",13.30,14134.11,"Cost of Goods Sold"
,"Bill","10/27/2023","123-3795","General Films:GF12 - 2-Up Bag Machine",,"ProAutomation","51200 · Freight-Machinery",19.43,14153.54,"Cost of Goods Sold"
,"Bill","10/31/2023","6216480","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",40.01,14193.55,"Cost of Goods Sold"
,"Bill","11/01/2023","16922706","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",57.61,14251.16,"Cost of Goods Sold"
,"Bill","11/01/2023","16922855","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",11.83,14262.99,"Cost of Goods Sold"
,"Bill","11/02/2023","OC16747703","General Films:GF12 - 2-Up Bag Machine",,"Aerotek Inc","61800 · Contract Labor",1248.75,15511.74,"Expense"
,"Bill","11/06/2023","6216805","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",46.44,15558.18,"Cost of Goods Sold"
,"Bill","11/06/2023","2985848603","General Films:GF12 - 2-Up Bag Machine",,"Coyote, LLC","51200 · Freight-Machinery",178.85,15737.03,"Cost of Goods Sold"
,"Bill","11/07/2023","6216871","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",22.50,15759.53,"Cost of Goods Sold"
,"Bill","11/07/2023","5475441","General Films:GF12 - 2-Up Bag Machine",,"E&G Terminal Corp.","51200 · Freight-Machinery",13.81,15773.34,"Cost of Goods Sold"
,"Bill","11/08/2023","17316509","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",11.44,15784.78,"Cost of Goods Sold"
,"Bill","11/08/2023","6216890","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",22.50,15807.28,"Cost of Goods Sold"
,"Bill","11/08/2023","17313232","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",11.33,15818.61,"Cost of Goods Sold"
,"Bill","11/09/2023","OC16758486","General Films:GF12 - 2-Up Bag Machine",,"Aerotek Inc","61800 · Contract Labor",472.50,16291.11,"Expense"
,"Credit","11/10/2023","17412277","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",-24.80,16266.31,"Cost of Goods Sold"
,"Credit","11/10/2023","17421369","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",-32.82,16233.49,"Cost of Goods Sold"
,"Bill","11/13/2023","6217214","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",22.50,16255.99,"Cost of Goods Sold"
,"Bill","11/14/2023","17599753","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",13.30,16269.29,"Cost of Goods Sold"
,"Bill","11/17/2023","18595","General Films:GF12 - 2-Up Bag Machine",,"American Feeding Systems, Inc.","51200 · Freight-Machinery",21.05,16290.34,"Cost of Goods Sold"
,"Bill","11/20/2023","17887271","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",10.26,16300.60,"Cost of Goods Sold"
,"Bill","11/23/2023","3025921101","General Films:GF12 - 2-Up Bag Machine",,"Coyote, LLC","51200 · Freight-Machinery",177.63,16478.23,"Cost of Goods Sold"
,"Bill","11/27/2023","6217760","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",23.02,16501.25,"Cost of Goods Sold"
,"Bill","11/27/2023","18126138","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",21.22,16522.47,"Cost of Goods Sold"
